# https://api.eosnetworkmonitor.io and whois results
# EOS
IP Address|Port|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
0.15.18.32|80|NA|NA||other||NA
10.0.2.7|9000|NA|NA||other||NA
103.211.167.110|9876
104.156.59.167|9876|29802|104.156.59.0/24|US|arin|2014-07-14|HVC-AS, US
104.21.18.155|445|13335|104.21.16.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.38.29|9877|13335|104.21.32.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.60.13|9876|13335|104.21.48.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.26.8.83|443|13335|104.26.0.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.26.9.83|443|13335|104.26.0.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
13.114.33.79|9876
13.115.41.26|18181|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US
13.209.109.137|59876|16509|13.209.0.0/16|US|arin|2019-10-01|AMAZON-02, US
13.231.237.24|8333|16509|13.230.0.0/15|US|arin|2019-10-01|AMAZON-02, US
13.71.186.50|9800|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
130.211.59.178|9876|15169|130.211.0.0/16|US|arin|2014-05-12|GOOGLE, US
134.209.67.1|13975|14061|134.209.64.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US
136.243.90.53|9876|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
138.201.247.130|12000|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
138.68.117.66|9876|14061|138.68.116.0/22|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
142.44.245.249|9876|16276|142.44.128.0/17|CA|arin|2017-06-21|OVH, FR
148.251.183.205|9876|24940|148.251.0.0/16|DE|ripencc|1993-09-01|HETZNER-AS, DE
148.59.149.144|9876|396477|148.59.149.0/24|CA|arin|2017-08-01|DNSNETWORKS, CA
161.117.71.192|9876|45102|161.117.0.0/17|SG|apnic|1992-07-09|CNNIC-ALIBABA-US-NET-AP Alibaba US Technology Co., Ltd., CN
162.55.80.188|9393|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE
